falha;vazao;pressao
1;21038;504
1;21038;505
1;21038;506
1;21038;507
1;21038;508
1;21038;509
1;21038;510
1;21038;511
1;21038;512
1;21038;513
1;21038;514
1;21038;515
1;21038;516
1;21038;517
1;21038;518
1;21038;519
1;21038;520
1;21038;521
1;21038;522
1;21038;523
1;21038;524
1;21038;525
1;21038;526
1;21038;527
1;21038;528
1;21038;529
1;21038;530
1;21038;531
1;21038;532
1;21038;533
1;21038;534
1;21038;535
1;21038;536
1;21038;537
1;21038;538
1;21038;539
1;21038;540
1;21038;541
1;21038;542
1;21038;543
1;21038;544
1;21038;545
1;21038;546
1;21038;547
1;21038;548
1;21038;549
1;21038;550
1;21038;551
1;21038;552
1;21038;553
1;21038;554
1;21038;555
1;21038;556
1;21038;557
1;21038;558
1;21038;559
1;21038;560
1;21038;561
1;21038;562
1;21038;563
1;21038;564
1;21038;565
1;21038;566
1;21038;567
1;21038;568
1;21038;569
1;21038;570
1;21038;571
1;21038;572
1;21038;573
1;21038;574
1;21038;575
1;21038;576
1;21038;577
1;21038;578
1;21038;579
1;21038;580
1;21038;581
1;21038;582
1;21038;583
1;21038;584
1;21038;585
1;21038;586
1;21038;587
1;21038;588
1;21038;589
1;21038;590
1;21038;591
1;21038;592
1;21038;593
1;21038;594
1;21038;595
1;21038;596
1;21038;597
1;21038;598
1;21038;599
1;21038;600
1;21038;601
1;21038;602
1;21038;603
1;21038;604
1;21038;605
1;21038;606
1;21038;607
1;21038;608
1;21038;609
1;21038;610
1;21038;611
1;21038;612
1;21038;613
1;21038;614
1;21038;615
1;21038;616
1;21038;617
1;21038;618
1;21038;619
1;21038;620
1;21038;621
1;21038;622
1;21038;623
1;21038;624
1;21038;625
1;21038;626
1;21038;627
1;21038;628
1;21038;629
1;21038;630
1;21038;631
1;21038;632
1;21038;633
1;21038;634
1;21038;635
1;21038;636
1;21039;504
1;21039;505
1;21039;506
1;21039;507
1;21039;508
1;21039;509
1;21039;510
1;21039;511
1;21039;512
1;21039;513
1;21039;514
1;21039;515
1;21039;516
1;21039;517
1;21039;518
1;21039;519
1;21039;520
1;21039;521
1;21039;522
1;21039;523
1;21039;524
1;21039;525
1;21039;526
1;21039;527
1;21039;528
1;21039;529
1;21039;530
1;21039;531
1;21039;532
1;21039;533
1;21039;534
1;21039;535
1;21039;536
1;21039;537
1;21039;538
1;21039;539
1;21039;540
1;21039;541
1;21039;542
1;21039;543
1;21039;544
1;21039;545
1;21039;546
1;21039;547
1;21039;548
1;21039;549
1;21039;550
1;21039;551
1;21039;552
1;21039;553
1;21039;554
1;21039;555
1;21039;556
1;21039;557
1;21039;558
1;21039;559
1;21039;560
1;21039;561
1;21039;562
1;21039;563
1;21039;564
1;21039;565
1;21039;566
1;21039;567
1;21039;568
1;21039;569
1;21039;570
1;21039;571
1;21039;572
1;21039;573
1;21039;574
1;21039;575
1;21039;576
1;21039;577
1;21039;578
1;21039;579
1;21039;580
1;21039;581
1;21039;582
1;21039;583
1;21039;584
1;21039;585
1;21039;586
1;21039;587
1;21039;588
1;21039;589
1;21039;590
1;21039;591
1;21039;592
1;21039;593
1;21039;594
1;21039;595
1;21039;596
1;21039;597
1;21039;598
1;21039;599
1;21039;600
1;21039;601
1;21039;602
1;21039;603
1;21039;604
1;21039;605
1;21039;606
1;21039;607
1;21039;608
1;21039;609
1;21039;610
1;21039;611
1;21039;612
1;21039;613
1;21039;614
1;21039;615
1;21039;616
1;21039;617
1;21039;618
1;21039;619
1;21039;620
1;21039;621
1;21039;622
1;21039;623
1;21039;624
1;21039;625
1;21039;626
1;21039;627
1;21039;628
1;21039;629
1;21039;630
1;21039;631
1;21039;632
1;21039;633
1;21039;634
1;21039;635
1;21039;636
1;21040;504
1;21040;505
1;21040;506
1;21040;507
1;21040;508
1;21040;509
1;21040;510
1;21040;511
1;21040;512
1;21040;513
1;21040;514
1;21040;515
1;21040;516
1;21040;517
1;21040;518
1;21040;519
1;21040;520
1;21040;521
1;21040;522
1;21040;523
1;21040;524
1;21040;525
1;21040;526
1;21040;527
1;21040;528
1;21040;529
1;21040;530
1;21040;531
1;21040;532
1;21040;533
1;21040;534
1;21040;535
1;21040;536
1;21040;537
1;21040;538
1;21040;539
1;21040;540
1;21040;541
1;21040;542
1;21040;543
1;21040;544
1;21040;545
1;21040;546
1;21040;547
1;21040;548
1;21040;549
1;21040;550
1;21040;551
1;21040;552
1;21040;553
1;21040;554
1;21040;555
1;21040;556
1;21040;557
1;21040;558
1;21040;559
1;21040;560
1;21040;561
1;21040;562
1;21040;563
1;21040;564
1;21040;565
1;21040;566
1;21040;567
1;21040;568
1;21040;569
1;21040;570
1;21040;571
1;21040;572
1;21040;573
1;21040;574
1;21040;575
1;21040;576
1;21040;577
1;21040;578
1;21040;579
